0 10 12 14 2.7314
0 10 13 14 2.7314
0 11 12 13 2.68949
0 11 12 14 2.72279
0 11 13 14 2.72279
0 12 13 14 2.71042
1 2 3 4 1.41421
1 2 3 5 1.73205
1 2 3 6 1.90693
1 2 3 7 1.85164
1 2 3 8 1.73205
1 2 3 9 1.90693
1 2 3 10 1.41421
1 2 3 11 1.90693
1 2 3 12 1.90693
1 2 3 13 1.90693
1 2 3 14 1.73205
1 2 4 5 1.73205
1 2 4 6 1.62019
1 2 4 7 1.62019
1 2 4 8 1.81265
1 2 4 9 1.73205
1 2 4 10 1.81265
1 2 4 11 1.41421
1 2 4 12 1.81265
1 2 4 13 1.81265
1 2 4 14 1.81265
1 2 5 6 1.73205
1 2 5 7 1.73205
1 2 5 8 1.73205
1 2 5 9 1.73205
1 2 5 10 1.73205
1 2 5 11 1.73205
1 2 5 12 1.73205
1 2 5 13 1.73205
1 2 5 14 1.73205
1 2 6 7 1.85164
1 2 6 8 2
1 2 6 9 1.96214
1 2 6 10 1.73205
1 2 6 11 1.93309
1 2 6 12 1.96214
1 2 6 13 1.96214
1 2 6 14 2
1 2 7 8 1.62019
1 2 7 9 1.85164
1 2 7 10 1.62019
1 2 7 11 1.85164
1 2 7 12 1.85164
1 2 7 13 1.85164
1 2 7 14 1.62019
1 2 8 9 2
1 2 8 10 2
1 2 8 11 1.81265
1 2 8 12 2
1 2 8 13 2
1 2 8 14 2
1 2 9 10 1.81265
1 2 9 11 1.93309
1 2 9 12 1.96769
1 2 9 13 1.96769
1 2 9 14 2
1 2 10 11 1.62019
1 2 10 12 2
1 2 10 13 2
1 2 10 14 2
1 2 11 12 1.93309
1 2 11 13 1.93309
1 2 11 14 1.81265
1 2 12 13 1.97531
1 2 12 14 2
1 2 13 14 2
1 3 4 5 1.41421
1 3 4 6 1.41421
1 3 4 7 1.41421
1 3 4 8 1.41421
1 3 4 9 1.41421
1 3 4 10 1.41421
1 3 4 11 1.41421
1 3 4 12 1.41421
1 3 4 13 1.41421
1 3 4 14 1.41421
1 3 5 6 1.73205
1 3 5 7 1.73205
1 3 5 8 1.41421
